model_id,ship_id,ship_name_ko,ship_name_en,variant,asset_category,is_archaeological_shipwreck,period,year_ce,research_summary,site_location,site_depth_m,target_measurement_type,target_length_m,target_width_m,target_height_m,glb_path,fbx_path,reference_image_path,generation_method,generation_tool,primary_source_url,secondary_source_url,source_organization,license_note,orientation_reviewed,scale_reviewed,mesh_cleaned,collision_ready,notes
geobukseon_illustration,geobukseon,거북선,Turtle Ship,illustration_reconstruction,historical_ship_reference,false,조선시대,,난파선 발굴 자료가 아닌 역사선박 참고 모델,,,unknown,,,,거북선/거북선 일러스트.glb,거북선/거북선 일러스트.fbx,거북선/거북선 일러스트.png,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,GitHub repository,원본 이미지와 생성 모델의 재사용 권리 별도 확인 필요,no,no,no,no,고고학적 난파선과 분리하여 관리
geobukseon_reference,geobukseon,거북선,Turtle Ship,reference_reconstruction,historical_ship_reference,false,조선시대,,난파선 발굴 자료가 아닌 역사선박 참고 모델,,,unknown,,,,거북선/거북선.glb,거북선/거북선.fbx,거북선/거북선.png,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,GitHub repository,원본 이미지와 생성 모델의 재사용 권리 별도 확인 필요,no,no,no,no,고고학적 난파선과 분리하여 관리
dallido_remains,dallido,달리도선,Dallido Shipwreck,remaining_hull,archaeological_shipwreck,true,"고려, 13~14세기",,잔존 선체 3D 모델,전라남도 목포시 충무동 달리도 갯벌,,remaining,10.5,2.72,0.8,달리도선/달리도선+잔존선체.glb,달리도선/달리도선+잔존선체.fbx,달리도선/달리도선+잔존선체.JPG,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/82,https://www.seamuse.go.kr/research/excavation/info/103,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,
dallido_reconstruction,dallido,달리도선,Dallido Shipwreck,estimated_reconstruction,archaeological_shipwreck,true,"고려, 13~14세기",,조선공학적 분석 기반 추정 복원 모델,전라남도 목포시 충무동 달리도 갯벌,,estimated_reconstruction,12.0,3.6,1.6,달리도선/달리도선_복원+3D모델링.glb,달리도선/달리도선_복원+3D모델링.fbx,달리도선/달리도선_복원+3D모델링.jpg,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/82,https://www.seamuse.go.kr/research/excavation/info/103,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,
mado1_remains,mado1,마도1호선,Mado No. 1 Shipwreck,remaining_hull,archaeological_shipwreck,true,고려,1208,잔존 선체 모델,충청남도 태안군 근흥면 마도 해저,15~21,remaining,10.8,3.7,,마도1호선/마도1호선+잔존선체.glb,마도1호선/마도1호선+잔존선체.fbx,마도1호선/마도1호선+잔존선체.jpg,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/90,https://www.seamuse.go.kr/research/excavation/info/81,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,잔존 선체 높이는 공식 페이지에 명시되지 않아 공란
mado1_reconstruction,mado1,마도1호선,Mado No. 1 Shipwreck,full_reconstruction,archaeological_shipwreck,true,고려,1208,실물 복원선 기반 전체 모델,충청남도 태안군 근흥면 마도 해저,15~21,restored,15.5,6.5,3.2,마도1호선/마도1호선full.glb,마도1호선/마도1호선full.fbx,마도1호선/마도1호선full.png,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/90,https://www.seamuse.go.kr/research/excavation/info/81,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,연구 페이지의 복원 길이 15.5m를 사용
sinan_reconstruction,sinan,신안선,Sinan Shipwreck,estimated_reconstruction,archaeological_shipwreck,true,중국 원,1323,신안선 원형 추정 복원 모델,전라남도 신안군 증도면 방축리 해저,20,estimated_reconstruction,30.1,10.8,4.0,신안선/신안선.glb,신안선/신안선.fbx,신안선/신안선.png,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/76,https://www.seamuse.go.kr/research/excavation/info/101,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,
sibidongpado_reconstruction,sibidongpado,십이동파도선,Sibidongpado Shipwreck,full_reconstruction,archaeological_shipwreck,true,"고려, 12세기",,추정 복원 전체 모델,전라북도 군산시 옥도면 십이동파도 해역,,estimated_reconstruction,14.5,5.21,2.08,십이동파도선/십이동파도선 full.glb,십이동파도선/십이동파도선 full.fbx,십이동파도선/십이동파도선 full.png,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/91,https://www.seamuse.go.kr/research/excavation/info/105,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,
sibidongpado_remains,sibidongpado,십이동파도선,Sibidongpado Shipwreck,remaining_hull,archaeological_shipwreck,true,"고려, 12세기",,잔존 선체 모델,전라북도 군산시 옥도면 십이동파도 해역,,remaining,7.0,2.7,,십이동파도선/십이동파도선+잔존선체.glb,십이동파도선/십이동파도선+잔존선체.fbx,십이동파도선/십이동파도선+잔존선체.jpg,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/91,https://www.seamuse.go.kr/research/excavation/info/105,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,잔존 선체 높이는 공식 페이지에 명시되지 않아 공란
wando_reconstruction,wando,완도선,Wando Shipwreck,full_reconstruction,archaeological_shipwreck,true,"고려, 11~12세기",,실물 복원 기반 전체 모델,전라남도 완도군 약산면 어두리 해역,,estimated_reconstruction,10.8,3.5,1.8,완도선/완도선 복원체.glb,완도선/완도선 복원체.fbx,완도선/완도선 복원체.png,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/80,https://www.seamuse.go.kr/research/shipwreck_preservation,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,
