category,object_name,physical_material,sketchfab_uid,author,model_url,license,triangles,vertices,selection_reason,download_status,target_fbx,target_preview
rock,Rock-Boulder,stone,c2bf20a4c52a49a583f28aedb2010f7c,KI NG,https://sketchfab.com/3d-models/rock-boulder-c2bf20a4c52a49a583f28aedb2010f7c,CC Attribution,1400,683,Single isolated boulder; solid stone.,requires_authenticated_sketchfab_download,3d modeling/rock/original_models/rock.fbx,3d modeling/rock/preview_images/rock.png
moss_clump,Moss clump,moss/organic vegetation,1a39ea43153a4bd3a92beaadfba4d089,ZiemniaQ,https://sketchfab.com/3d-models/moss-clump-1a39ea43153a4bd3a92beaadfba4d089,CC Attribution,26600,13300,One compact moss clump; useful as an isolated vegetation target.,requires_authenticated_sketchfab_download,3d modeling/moss_clump/original_models/moss_clump.fbx,3d modeling/moss_clump/preview_images/moss_clump.png
mud_pile,Mud pile,mud,96745d38c42c4ec8a7bca594dfe6aad3,Léonard_Doye / Leoskateman,https://sketchfab.com/3d-models/mud-pile-96745d38c42c4ec8a7bca594dfe6aad3,CC Attribution,190,112,Single low-poly mud mound; one sediment material.,requires_authenticated_sketchfab_download,3d modeling/mud_pile/original_models/mud_pile.fbx,3d modeling/mud_pile/preview_images/mud_pile.png
driftwood,Driftwood,wood,38b45cfa785347a7bed665aafdd4b80a,Lion1469,https://sketchfab.com/3d-models/driftwood-38b45cfa785347a7bed665aafdd4b80a,CC Attribution,45300,22700,One scanned driftwood log; solid wood.,requires_authenticated_sketchfab_download,3d modeling/driftwood/original_models/driftwood.fbx,3d modeling/driftwood/preview_images/driftwood.png
seashell,Sea Shell,calcium-carbonate shell,b132d26a78e94f919fa0f587b6c29d19,LukasG_BC,https://sketchfab.com/3d-models/sea-shell-b132d26a78e94f919fa0f587b6c29d19,CC Attribution,65300,33000,Single shell object; mineral shell material.,requires_authenticated_sketchfab_download,3d modeling/seashell/original_models/seashell.fbx,3d modeling/seashell/preview_images/seashell.png
concrete_block,Concrete Block (Low Poly),concrete,cb7145cb2e084db4bafe11ac392fc954,Berk Gedik,https://sketchfab.com/3d-models/concrete-block-low-poly-cb7145cb2e084db4bafe11ac392fc954,CC Attribution,220,120,Single masonry block; concrete only.,requires_authenticated_sketchfab_download,3d modeling/concrete_block/original_models/concrete_block.fbx,3d modeling/concrete_block/preview_images/concrete_block.png
brick,Brick,fired clay,504a59ef14a148809cec657d7c99367c,Rigsters,https://sketchfab.com/3d-models/brick-504a59ef14a148809cec657d7c99367c,CC Attribution,30000,15000,Single brick; fired-clay material.,requires_authenticated_sketchfab_download,3d modeling/brick/original_models/brick.fbx,3d modeling/brick/preview_images/brick.png
metal_pipe,Metal Pipe,metal,88e1ab84b33e4a98b69c1c51c24d751a,lionclaw0612,https://sketchfab.com/3d-models/metal-pipe-88e1ab84b33e4a98b69c1c51c24d751a,CC Attribution,1700,864,One pipe segment; metal only.,requires_authenticated_sketchfab_download,3d modeling/metal_pipe/original_models/metal_pipe.fbx,3d modeling/metal_pipe/preview_images/metal_pipe.png
concrete_pipe,Large Concrete Pipe,concrete,97f8a2600c4f40c886f215c8a11035c1,jkvarel,https://sketchfab.com/3d-models/large-concrete-pipe-97f8a2600c4f40c886f215c8a11035c1,CC Attribution,640,257,One culvert/pipe segment; concrete only.,requires_authenticated_sketchfab_download,3d modeling/concrete_pipe/original_models/concrete_pipe.fbx,3d modeling/concrete_pipe/preview_images/concrete_pipe.png
glass_bottle,Glass Bottle,glass,beb69bc08a8f487ab8c5207fb155cbf2,Francesco Coldesina,https://sketchfab.com/3d-models/glass-bottle-beb69bc08a8f487ab8c5207fb155cbf2,CC Attribution,7200,3600,Single bottle; glass only.,requires_authenticated_sketchfab_download,3d modeling/glass_bottle/original_models/glass_bottle.fbx,3d modeling/glass_bottle/preview_images/glass_bottle.png
anchor,Anchor,metal,69552aac91e94f99a8b1a44d2d80cebc,Calipo,https://sketchfab.com/3d-models/anchor-69552aac91e94f99a8b1a44d2d80cebc,CC Attribution,29700,15100,Single anchor; metal only.,requires_authenticated_sketchfab_download,3d modeling/anchor/original_models/anchor.fbx,3d modeling/anchor/preview_images/anchor.png
rope,Coiled Rope,rope fiber,f771d9bbc8384f44aeb63f100b3a16a4,TepidGames,https://sketchfab.com/3d-models/coiled-rope-f771d9bbc8384f44aeb63f100b3a16a4,CC Attribution,40000,20000,One coiled rope object; creator describes one simple rope material.,requires_authenticated_sketchfab_download,3d modeling/rope/original_models/rope.fbx,3d modeling/rope/preview_images/rope.png
plastic_crate,Plastic Crate,plastic,0783b2db4d19457ab337c491b9f143de,Ashton Jensen,https://sketchfab.com/3d-models/plasticcrate-0783b2db4d19457ab337c491b9f143de,CC Attribution,157400,78300,Single crate; plastic only.,requires_authenticated_sketchfab_download,3d modeling/plastic_crate/original_models/plastic_crate.fbx,3d modeling/plastic_crate/preview_images/plastic_crate.png
iron_chain,Iron chain,iron,6d079f01c7c142e0be54d7f2d33b33e6,dabori,https://sketchfab.com/3d-models/iron-chain-6d079f01c7c142e0be54d7f2d33b33e6,CC Attribution,58100,29000,One chain assembly; iron only.,requires_authenticated_sketchfab_download,3d modeling/iron_chain/original_models/iron_chain.fbx,3d modeling/iron_chain/preview_images/iron_chain.png
ship_propeller,Ship-Propeller,metal,ce261468f7b1472ea047f37c778acb91,Aivermore,https://sketchfab.com/3d-models/ship-propeller-ce261468f7b1472ea047f37c778acb91,CC Attribution,152300,76100,Single detached propeller; metal only.,requires_authenticated_sketchfab_download,3d modeling/ship_propeller/original_models/ship_propeller.fbx,3d modeling/ship_propeller/preview_images/ship_propeller.png
dead_coral,Coral,calcium-carbonate coral skeleton,bab933533d0e47de94d1aec3d3d73fdc,DG02,https://sketchfab.com/3d-models/coral-bab933533d0e47de94d1aec3d3d73fdc,CC Attribution,60000,30000,Single dead-coral piece; mineral coral skeleton.,requires_authenticated_sketchfab_download,3d modeling/dead_coral/original_models/dead_coral.fbx,3d modeling/dead_coral/preview_images/dead_coral.png
