model_file,ship_id,ship_name_ko,ship_name_en,variant,asset_category,target_length_m,target_width_m,target_height_m,size_source_url,size_source_note,file_size_bytes,file_sha256,mesh_object_count,vertex_count,polygon_count,bbox_x_units,bbox_y_units,bbox_z_units,model_length_units,model_width_units,model_height_units,current_length_axis,current_width_axis,current_height_axis,recommended_rotate_x_deg,recommended_rotate_y_deg,recommended_rotate_z_deg,uniform_scale_m_per_unit,scaled_width_from_model_m,scaled_height_from_model_m,simulation_forward_axis,simulation_left_axis,simulation_up_axis,default_yaw_deg,default_pitch_deg,default_roll_deg,placement_yaw_min_deg,placement_yaw_max_deg,placement_pitch_min_deg,placement_pitch_max_deg,placement_roll_min_deg,placement_roll_max_deg,bow_direction_review_required,up_direction_review_required,orientation_status,measurement_status,measured_at_utc,notes
Aleksei_ship1.fbx,aleksei,알렉세이호,Aleksei,variant_1,modern_shipwreck,,,,https://www.data.go.kr/data/15004149/fileData.do,Verified real-world dimensions are not yet recorded.,637612,c554bd41cc24ba578089a2fee78d19abcbec9317da596fbfb7b0adbf12a4dd27,,,,,,,,,,,,,,,,,,,+X,+Y,+Z,0.0,0.0,0.0,0.0,360.0,-12.0,12.0,-8.0,8.0,yes,yes,not_measured,error,2026-07-30T11:01:37.577799+00:00,"Scanner error: Calling operator ""bpy.ops.wm.fbx_import"" error, could not be found"
Alesksei_ship2.fbx,aleksei,알렉세이호,Aleksei,variant_2,modern_shipwreck,,,,https://www.data.go.kr/data/15004149/fileData.do,Same vessel as variant 1; existing filename spelling retained.,633180,8209f38c37afca5b358cfa931793b16665207802708229a86022bd8935492fb1,,,,,,,,,,,,,,,,,,,+X,+Y,+Z,0.0,0.0,0.0,0.0,360.0,-12.0,12.0,-8.0,8.0,yes,yes,not_measured,error,2026-07-30T11:01:37.577799+00:00,"Scanner error: Calling operator ""bpy.ops.wm.fbx_import"" error, could not be found"
Cosmos_ship.fbx,cosmos,코스모스호,Cosmos,default,modern_shipwreck,,,,https://www.data.go.kr/data/15004149/fileData.do,Verified real-world dimensions are not yet recorded.,956652,18b1ae9a577c1cac1dbacbda2b972fb09918a77a4b0fb4af4f235b84386b5a4f,,,,,,,,,,,,,,,,,,,+X,+Y,+Z,0.0,0.0,0.0,0.0,360.0,-12.0,12.0,-8.0,8.0,yes,yes,not_measured,error,2026-07-30T11:01:37.577799+00:00,"Scanner error: Calling operator ""bpy.ops.wm.fbx_import"" error, could not be found"
dallido_ship_remaining_hull.fbx,dallido,달리도선,Dallido Shipwreck,remaining_hull,archaeological_shipwreck,10.5,2.72,0.8,https://www.seamuse.go.kr/research/shipwreck_research/info/82,Reference dimensions.,635548,8b4b0e01ec608996719750d787f112821f699050231168c87714f56007afcab5,,,,,,,,,,,,,,,,,,,+X,+Y,+Z,0.0,0.0,0.0,0.0,360.0,-12.0,12.0,-8.0,8.0,yes,yes,not_measured,error,2026-07-30T11:01:37.577799+00:00,"Scanner error: Calling operator ""bpy.ops.wm.fbx_import"" error, could not be found"
Dongsheng.fbx,dongsheng,,Dongsheng,default,modern_shipwreck,,,,https://www.data.go.kr/data/15004149/fileData.do,Verified real-world dimensions are not yet recorded.,628124,beae6d91c6f64caed4f79a37423b41962b870c66a4f7f6483436dfeb4e8a88a4,,,,,,,,,,,,,,,,,,,+X,+Y,+Z,0.0,0.0,0.0,0.0,360.0,-12.0,12.0,-8.0,8.0,yes,yes,not_measured,error,2026-07-30T11:01:37.577799+00:00,"Scanner error: Calling operator ""bpy.ops.wm.fbx_import"" error, could not be found"
keumyang6.fbx,keumyang6,금양6호,Keumyang No. 6,default,modern_shipwreck,,,,https://www.data.go.kr/data/15004149/fileData.do,Verified real-world dimensions are not yet recorded.,945276,1c5c3acae83e1555acc628702bb9997f6ad9c47ee53c7060d637f7abb90c765d,,,,,,,,,,,,,,,,,,,+X,+Y,+Z,0.0,0.0,0.0,0.0,360.0,-12.0,12.0,-8.0,8.0,yes,yes,not_measured,error,2026-07-30T11:01:37.577799+00:00,"Scanner error: Calling operator ""bpy.ops.wm.fbx_import"" error, could not be found"
mado_1_ship_reconstructed.fbx,mado1,마도1호선,Mado No. 1 Shipwreck,reconstructed,archaeological_shipwreck,15.5,6.5,3.2,https://www.seamuse.go.kr/research/shipwreck_research/info/90,Full reconstruction reference dimensions.,630828,24444783c7198daee08d045f8d4980ec4ec4084884f9ec5023ee1bfff92d44f5,,,,,,,,,,,,,,,,,,,+X,+Y,+Z,0.0,0.0,0.0,0.0,360.0,-12.0,12.0,-8.0,8.0,yes,yes,not_measured,error,2026-07-30T11:01:37.577799+00:00,"Scanner error: Calling operator ""bpy.ops.wm.fbx_import"" error, could not be found"
mado_1_ship_remaining_hull.fbx,mado1,마도1호선,Mado No. 1 Shipwreck,remaining_hull,archaeological_shipwreck,10.8,3.7,1.82,https://www.seamuse.go.kr/research/shipwreck_research/info/90,Height is a proportional derived estimate from the reconstructed model.,1245612,dd8e44a8803467a69101ea6b60eb62a76f2fe63753c3b0bedeaf3e940ab18bfe,,,,,,,,,,,,,,,,,,,+X,+Y,+Z,0.0,0.0,0.0,0.0,360.0,-12.0,12.0,-8.0,8.0,yes,yes,not_measured,error,2026-07-30T11:01:37.577799+00:00,"Scanner error: Calling operator ""bpy.ops.wm.fbx_import"" error, could not be found"
Responder_ship1.fbx,responder,리스폰더호,Responder,variant_1,modern_shipwreck,,,,https://www.data.go.kr/data/15004149/fileData.do,Verified real-world dimensions are not yet recorded.,959452,6178aa9c10b7f803a3f7b08124671c3f9ece9767a19b4f183e3d1a94160d2ec6,,,,,,,,,,,,,,,,,,,+X,+Y,+Z,0.0,0.0,0.0,0.0,360.0,-12.0,12.0,-8.0,8.0,yes,yes,not_measured,error,2026-07-30T11:01:37.577799+00:00,"Scanner error: Calling operator ""bpy.ops.wm.fbx_import"" error, could not be found"
Shineline8_ship1.fbx,shineline8,,Shineline 8,variant_1,modern_shipwreck,,,,https://www.data.go.kr/data/15004149/fileData.do,Verified real-world dimensions are not yet recorded.,637996,4a71309b6f11df28c91feffaafda501c445a99ce0a4b25914f87fae7fd271969,,,,,,,,,,,,,,,,,,,+X,+Y,+Z,0.0,0.0,0.0,0.0,360.0,-12.0,12.0,-8.0,8.0,yes,yes,not_measured,error,2026-07-30T11:01:37.577799+00:00,"Scanner error: Calling operator ""bpy.ops.wm.fbx_import"" error, could not be found"
