asset_id,ship_name_ko,ship_name_en,variant,asset_category,measurement_type,length_m,width_m,height_m,size_status,source_url,notes
turtleship1,거북선,Turtle Ship,model_1,historical_ship_reference,unknown,,,,needs_verification,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling/shipwreck/original_models,"Historical reference model, not an excavated archaeological shipwreck. Do not assign a real scale until a specific reconstruction source is selected."
turtleship2,거북선,Turtle Ship,model_2,historical_ship_reference,unknown,,,,needs_verification,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling/shipwreck/original_models,"Historical reference model, not an excavated archaeological shipwreck. Do not assign a real scale until a specific reconstruction source is selected."
turtleship3,거북선,Turtle Ship,model_3,historical_ship_reference,unknown,,,,needs_verification,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling/shipwreck/original_models,"Historical reference model, not an excavated archaeological shipwreck. Do not assign a real scale until a specific reconstruction source is selected."
turtleship4,거북선,Turtle Ship,model_4,historical_ship_reference,unknown,,,,needs_verification,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling/shipwreck/original_models,"Historical reference model, not an excavated archaeological shipwreck. Do not assign a real scale until a specific reconstruction source is selected."
dallido_remains,달리도선,Dallido Shipwreck,remaining_hull,archaeological_shipwreck,remaining,10.5,2.72,0.8,reference_dimension,https://www.seamuse.go.kr/research/shipwreck_research/info/82,"Remaining hull dimensions."
dallido_reconstruction,달리도선,Dallido Shipwreck,estimated_reconstruction,archaeological_shipwreck,estimated_reconstruction,12.0,3.6,1.6,reference_dimension,https://www.seamuse.go.kr/research/shipwreck_research/info/82,"Estimated reconstruction dimensions."
mado1_remains,마도1호선,Mado No. 1 Shipwreck,remaining_hull,archaeological_shipwreck,remaining,10.8,3.7,,partial_reference_dimension,https://www.seamuse.go.kr/research/shipwreck_research/info/90,"Official height was not recorded in the existing project metadata."
mado1_reconstruction,마도1호선,Mado No. 1 Shipwreck,full_reconstruction,archaeological_shipwreck,restored,15.5,6.5,3.2,reference_dimension,https://www.seamuse.go.kr/research/shipwreck_research/info/90,"Full reconstruction reference dimensions."
sinan_reconstruction,신안선,Sinan Shipwreck,estimated_reconstruction,archaeological_shipwreck,estimated_reconstruction,30.1,10.8,4.0,reference_dimension,https://www.seamuse.go.kr/research/shipwreck_research/info/76,"Estimated original-form reconstruction dimensions."
sibidongpado_reconstruction,십이동파도선,Sibidongpado Shipwreck,full_reconstruction,archaeological_shipwreck,estimated_reconstruction,14.5,5.21,2.08,reference_dimension,https://www.seamuse.go.kr/research/shipwreck_research/info/91,"Estimated full reconstruction dimensions."
sibidongpado_remains,십이동파도선,Sibidongpado Shipwreck,remaining_hull,archaeological_shipwreck,remaining,7.0,2.7,,partial_reference_dimension,https://www.seamuse.go.kr/research/shipwreck_research/info/91,"Official height was not recorded in the existing project metadata."
wando_reconstruction,완도선,Wando Shipwreck,full_reconstruction,archaeological_shipwreck,estimated_reconstruction,10.8,3.5,1.8,reference_dimension,https://www.seamuse.go.kr/research/shipwreck_research/info/80,"Full reconstruction reference dimensions."
wando_remains,완도선,Wando Shipwreck,remaining_hull,archaeological_shipwreck,remaining,7.3,3.4,1.6,reference_dimension,https://www.seamuse.go.kr/research/shipwreck_research/info/80,"Remaining hull dimensions."
