model_id,ship_id,ship_name_ko,ship_name_en,variant,asset_category,is_archaeological_shipwreck,period,year_ce,research_summary,site_location,site_depth_m,target_measurement_type,target_length_m,target_width_m,target_height_m,glb_path,fbx_path,reference_image_path,generation_method,generation_tool,primary_source_url,secondary_source_url,source_organization,license_note,orientation_reviewed,scale_reviewed,mesh_cleaned,collision_ready,notes,glb_exists,glb_size_bytes,glb_size_mib,glb_sha256,fbx_exists,fbx_size_bytes,fbx_size_mib,fbx_sha256,reference_image_exists,reference_image_size_bytes,reference_image_size_mib,reference_image_sha256,glb_parse_status,mesh_count,primitive_count,vertex_count,triangle_count,material_count,texture_count,bbox_x_units,bbox_y_units,bbox_z_units,bbox_longest_units,bbox_middle_units,bbox_shortest_units,recommended_uniform_scale,scaled_length_m,scaled_width_m,scaled_height_m,all_required_files_present,simulation_ready,orientation_convention,generated_at_utc
geobukseon_illustration,geobukseon,거북선,Turtle Ship,illustration_reconstruction,historical_ship_reference,False,조선시대,,난파선 발굴 자료가 아닌 역사선박 참고 모델,,,unknown,,,,거북선/거북선 일러스트.glb,거북선/거북선 일러스트.fbx,거북선/거북선 일러스트.png,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,GitHub repository,원본 이미지와 생성 모델의 재사용 권리 별도 확인 필요,no,no,no,no,고고학적 난파선과 분리하여 관리,False,,,,True,730896,0.697,95d3a844bbd438bdf3bcabaccac5fdc58770dcc8a449971bfebfad415c415e54,True,428155,0.4083,09ca6e2d015c5ae7cd2c8e4749ee71f9d6afdfb20f1dceb21aa7b1050c7125be,missing,,,,,,,,,,,,,,,,,False,False,"+X forward, +Y left/width, +Z up",2026-07-25T05:54:30.303340+00:00
geobukseon_reference,geobukseon,거북선,Turtle Ship,reference_reconstruction,historical_ship_reference,False,조선시대,,난파선 발굴 자료가 아닌 역사선박 참고 모델,,,unknown,,,,거북선/거북선.glb,거북선/거북선.fbx,거북선/거북선.png,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,GitHub repository,원본 이미지와 생성 모델의 재사용 권리 별도 확인 필요,no,no,no,no,고고학적 난파선과 분리하여 관리,False,,,,True,976368,0.9311,59be5206cdbd90cf5e6b27e433688d84553d05214e1b2001852071273aff227c,True,490908,0.4682,78fcaff1dceb56ff619d68fb841bd90ff53675c36de72417b47b7ae17bdcaa9b,missing,,,,,,,,,,,,,,,,,False,False,"+X forward, +Y left/width, +Z up",2026-07-25T05:54:30.303340+00:00
dallido_remains,dallido,달리도선,Dallido Shipwreck,remaining_hull,archaeological_shipwreck,True,"고려, 13~14세기",,잔존 선체 3D 모델,전라남도 목포시 충무동 달리도 갯벌,,remaining,10.5,2.72,0.8,달리도선/달리도선+잔존선체.glb,달리도선/달리도선+잔존선체.fbx,달리도선/달리도선+잔존선체.JPG,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/82,https://www.seamuse.go.kr/research/excavation/info/103,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,,False,,,,True,635548,0.6061,8357984f06ff399b2fdea8b20e6e3f72a399f5646dd1129a9fad71b1487418e5,True,27721,0.0264,16e735a3e71c881094ecff8bd49923a5e337ca109db7cd5756ef1975c91fcc5a,missing,,,,,,,,,,,,,,,,,False,False,"+X forward, +Y left/width, +Z up",2026-07-25T05:54:30.303340+00:00
dallido_reconstruction,dallido,달리도선,Dallido Shipwreck,estimated_reconstruction,archaeological_shipwreck,True,"고려, 13~14세기",,조선공학적 분석 기반 추정 복원 모델,전라남도 목포시 충무동 달리도 갯벌,,estimated_reconstruction,12.0,3.6,1.6,달리도선/달리도선_복원+3D모델링.glb,달리도선/달리도선_복원+3D모델링.fbx,달리도선/달리도선_복원+3D모델링.jpg,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/82,https://www.seamuse.go.kr/research/excavation/info/103,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,,False,,,,True,634380,0.605,bfdfa4bade06064a6f60265afd07e0eed331d2375e60c17cf197608814e51edb,True,15618,0.0149,1f5eba9836e8c7abfd920f6cef57175f2da6f78fcee7e2dcdd4b4ca734a970e6,missing,,,,,,,,,,,,,,,,,False,False,"+X forward, +Y left/width, +Z up",2026-07-25T05:54:30.303340+00:00
mado1_remains,mado1,마도1호선,Mado No. 1 Shipwreck,remaining_hull,archaeological_shipwreck,True,고려,1208,잔존 선체 모델,충청남도 태안군 근흥면 마도 해저,15~21,remaining,10.8,3.7,,마도1호선/마도1호선+잔존선체.glb,마도1호선/마도1호선+잔존선체.fbx,마도1호선/마도1호선+잔존선체.jpg,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/90,https://www.seamuse.go.kr/research/excavation/info/81,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,잔존 선체 높이는 공식 페이지에 명시되지 않아 공란,False,,,,True,1245612,1.1879,3f47cc9fc13ecab535c150237bcf60000b1b9a346c58809ea5e67f6531d6bf0e,True,67137,0.064,2f47ccff20c6863e9c5f1b1bff575625b5d9d0a6b0a5621f3f318c18f24dca91,missing,,,,,,,,,,,,,,,,,False,False,"+X forward, +Y left/width, +Z up",2026-07-25T05:54:30.303340+00:00
mado1_reconstruction,mado1,마도1호선,Mado No. 1 Shipwreck,full_reconstruction,archaeological_shipwreck,True,고려,1208,실물 복원선 기반 전체 모델,충청남도 태안군 근흥면 마도 해저,15~21,restored,15.5,6.5,3.2,마도1호선/마도1호선full.glb,마도1호선/마도1호선full.fbx,마도1호선/마도1호선full.png,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/90,https://www.seamuse.go.kr/research/excavation/info/81,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,연구 페이지의 복원 길이 15.5m를 사용,False,,,,True,630828,0.6016,67d23e67f09a5a80d0990d79bdc24d23aeb0ed226a21e0c5816fd7e9e96c9dae,True,155736,0.1485,73dff3d7979f8a3dd6bb8df32d04a43c1c8ba345d549a412f84e369e353afe71,missing,,,,,,,,,,,,,,,,,False,False,"+X forward, +Y left/width, +Z up",2026-07-25T05:54:30.303340+00:00
sinan_reconstruction,sinan,신안선,Sinan Shipwreck,estimated_reconstruction,archaeological_shipwreck,True,중국 원,1323,신안선 원형 추정 복원 모델,전라남도 신안군 증도면 방축리 해저,20,estimated_reconstruction,30.1,10.8,4.0,신안선/신안선.glb,신안선/신안선.fbx,신안선/신안선.png,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/76,https://www.seamuse.go.kr/research/excavation/info/101,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,,False,,,,True,936572,0.8932,7d6317218fe564ebd5a82f23850dc3338feb2cf1dd2348ff7c5044663630cbab,True,512721,0.489,d0d26385da7062ecb9e5f028b601be44f6d85a6fa7838a9592ccc200411b50af,missing,,,,,,,,,,,,,,,,,False,False,"+X forward, +Y left/width, +Z up",2026-07-25T05:54:30.303340+00:00
sibidongpado_reconstruction,sibidongpado,십이동파도선,Sibidongpado Shipwreck,full_reconstruction,archaeological_shipwreck,True,"고려, 12세기",,추정 복원 전체 모델,전라북도 군산시 옥도면 십이동파도 해역,,estimated_reconstruction,14.5,5.21,2.08,십이동파도선/십이동파도선 full.glb,십이동파도선/십이동파도선 full.fbx,십이동파도선/십이동파도선 full.png,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/91,https://www.seamuse.go.kr/research/excavation/info/105,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,,False,,,,True,622876,0.594,19cd4dd220fd28c5344faa04bf7ea7a4826088c6ea58df5c4de7861fc6722a2a,True,522358,0.4982,0c18424f3b6fa359c54b11eb5403824b8fc7007c145ef1552693aee11883ff3a,missing,,,,,,,,,,,,,,,,,False,False,"+X forward, +Y left/width, +Z up",2026-07-25T05:54:30.303340+00:00
sibidongpado_remains,sibidongpado,십이동파도선,Sibidongpado Shipwreck,remaining_hull,archaeological_shipwreck,True,"고려, 12세기",,잔존 선체 모델,전라북도 군산시 옥도면 십이동파도 해역,,remaining,7.0,2.7,,십이동파도선/십이동파도선+잔존선체.glb,십이동파도선/십이동파도선+잔존선체.fbx,십이동파도선/십이동파도선+잔존선체.jpg,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/91,https://www.seamuse.go.kr/research/excavation/info/105,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,잔존 선체 높이는 공식 페이지에 명시되지 않아 공란,False,,,,True,638732,0.6091,cce3333924f75cb7abc636110cb9e309ee03229bc0a1822f31de5199b9f56448,True,23767,0.0227,beba81267a472961c6e6acae049feebebb412dab8751dad2b543d0f966071143,missing,,,,,,,,,,,,,,,,,False,False,"+X forward, +Y left/width, +Z up",2026-07-25T05:54:30.303340+00:00
wando_reconstruction,wando,완도선,Wando Shipwreck,full_reconstruction,archaeological_shipwreck,True,"고려, 11~12세기",,실물 복원 기반 전체 모델,전라남도 완도군 약산면 어두리 해역,,estimated_reconstruction,10.8,3.5,1.8,완도선/완도선 복원체.glb,완도선/완도선 복원체.fbx,완도선/완도선 복원체.png,single_image_to_3d,Meshy 6 Image-to-3D (user-reported),https://www.seamuse.go.kr/research/shipwreck_research/info/80,https://www.seamuse.go.kr/research/shipwreck_preservation,국립해양유산연구소,출처표시 및 해당 자료의 이용조건 확인 필요,no,no,no,no,,False,,,,True,639516,0.6099,9ab094024a516d67f70d88f690d2e89783ca878ceac839f8261b1fb111c9e925,True,632622,0.6033,cd0bd301b6a701fc21160bf0779f2975a9507fbb5af41b710cc1a3337e269910,missing,,,,,,,,,,,,,,,,,False,False,"+X forward, +Y left/width, +Z up",2026-07-25T05:54:30.303340+00:00
