model_file,ship_id,ship_name_ko,ship_name_en,variant,asset_category,target_length_m,target_width_m,target_height_m,model_bbox_x_units,model_bbox_y_units,model_bbox_z_units,current_length_axis,current_width_axis,current_height_axis,recommended_rotate_x_deg,recommended_rotate_y_deg,recommended_rotate_z_deg,simulation_forward_axis,simulation_left_axis,simulation_up_axis,default_yaw_deg,default_pitch_deg,default_roll_deg,placement_yaw_min_deg,placement_yaw_max_deg,placement_pitch_min_deg,placement_pitch_max_deg,placement_roll_min_deg,placement_roll_max_deg,bow_direction_review_required,orientation_status,measurement_status,size_source_url,notes
Aleksei_ship1.fbx,aleksei,알렉세이호,Aleksei,variant_1,modern_shipwreck,,,,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,https://www.data.go.kr/data/15004149/fileData.do,Real dimensions pending verified source
Alesksei_ship2.fbx,aleksei,알렉세이호,Aleksei,variant_2,modern_shipwreck,,,,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,https://www.data.go.kr/data/15004149/fileData.do,Existing filename spelling retained
Cosmos_ship.fbx,cosmos,코스모스호,Cosmos,default,modern_shipwreck,,,,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,https://www.data.go.kr/data/15004149/fileData.do,Real dimensions pending verified source
Dongsheng.fbx,dongsheng,,Dongsheng,default,modern_shipwreck,,,,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,https://www.data.go.kr/data/15004149/fileData.do,Real dimensions pending verified source
Responder_ship1.fbx,responder,리스폰더호,Responder,variant_1,modern_shipwreck,,,,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,https://www.data.go.kr/data/15004149/fileData.do,Real dimensions pending verified source
Shineline8_ship1.fbx,shineline8,,Shineline 8,variant_1,modern_shipwreck,,,,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,https://www.data.go.kr/data/15004149/fileData.do,Real dimensions pending verified source
Tianyun_ship1.fbx,tianyun,,Tianyun,variant_1,modern_shipwreck,,,,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,https://www.data.go.kr/data/15004149/fileData.do,Real dimensions pending verified source
Tianyun_ship2.fbx,tianyun,,Tianyun,variant_2,modern_shipwreck,,,,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,https://www.data.go.kr/data/15004149/fileData.do,Real dimensions pending verified source
keumyang6.fbx,keumyang6,금양6호,Keumyang No. 6,default,modern_shipwreck,,,,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,https://www.data.go.kr/data/15004149/fileData.do,Real dimensions pending verified source
dallido_ship_remaining_hull.fbx,dallido,달리도선,Dallido Shipwreck,remaining_hull,archaeological_shipwreck,10.5,2.72,0.8,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,https://www.seamuse.go.kr/research/shipwreck_research/info/82,Curated archaeological dimensions
mado_1_ship_reconstructed.fbx,mado1,마도1호선,Mado No. 1 Shipwreck,reconstructed,archaeological_shipwreck,15.5,6.5,3.2,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,https://www.seamuse.go.kr/research/shipwreck_research/info/90,Curated reconstructed dimensions
mado_1_ship_remaining_hull.fbx,mado1,마도1호선,Mado No. 1 Shipwreck,remaining_hull,archaeological_shipwreck,10.8,3.7,,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,https://www.seamuse.go.kr/research/shipwreck_research/info/90,Height not documented
sibidongpado_ship_reconstructed.fbx,sibidongpado,십이동파도선,Sibidongpado Shipwreck,reconstructed,archaeological_shipwreck,14.5,5.21,2.08,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,https://www.seamuse.go.kr/research/shipwreck_research/info/91,Curated reconstructed dimensions
sibidongpado_ship_remaining_hull.fbx,sibidongpado,십이동파도선,Sibidongpado Shipwreck,remaining_hull,archaeological_shipwreck,7.0,2.7,,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,https://www.seamuse.go.kr/research/shipwreck_research/info/91,Height not documented
turtleship1.fbx,turtleship,거북선,Turtle Ship,variant_1,historical_reference,,,,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,,Historical reference; not excavated shipwreck
turtleship2.fbx,turtleship,거북선,Turtle Ship,variant_2,historical_reference,,,,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,,Historical reference; not excavated shipwreck
turtleship3.fbx,turtleship,거북선,Turtle Ship,variant_3,historical_reference,,,,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,,Historical reference; not excavated shipwreck
turtleship4.fbx,turtleship,거북선,Turtle Ship,variant_4,historical_reference,,,,,,,,,,,,,+X,+Y,+Z,0,0,0,0,360,-12,12,-8,8,yes,pending_blender_scan,pending_blender_scan,,Historical reference; not excavated shipwreck
