Preview_ID,Category,Preview_File,Preview_Path,Model_File,Model_Path,Base_Object_ID,View_Number,Variant,Korean_Name,English_Name,Material_or_Ship_Type,Period_or_Date,Location,Measurement_Basis,Length_Min_m,Length_Max_m,Width_Min_m,Width_Max_m,Height_Min_m,Height_Max_m,Diameter_m,Rim_Diameter_m,Foot_Diameter_m,Bottom_Diameter_m,Inner_Base_Ring_Diameter_m,Opening_Diameter_m,Foot_Height_Inner_m,Foot_Height_Outer_m,Handle_Height_m,Handle_Diameter_m,Component_Length_m,Component_Width_m,Handle_or_Stem_Width_Min_m,Handle_or_Stem_Width_Max_m,Thickness_Min_m,Thickness_Max_m,Draft_m,Gross_Tonnage_GT,Overall_Length_m,Overall_Width_m,Overall_Height_m,Size_Status,Confidence,Estimation_Method,Source_1,Source_1_URL,Source_Page_or_Record,Source_2,Source_2_URL,Source_Notes,Model_Match_Status,Unit
ceramics_001,Ceramics,mado18-121_1.png,3d modeling/ceramics/preview_images/mado18-121_1.png,mado18-121_1.fbx,3d modeling/ceramics/original_models/mado18-121_1.fbx,mado18-121,1,view/model 1,청자매병편,Shard of Celadon Maebyeong,Celadon fragment,고려시대 추정 / Goryeo-period type,태안 마도해역 / Waters off Taean–Mado,Remaining fragment measurements,,,,,0.082,0.082,,0.052,,,,,,,,,,,,,0.0045,0.0085,,,0.052,0.052,0.082,Source-reported remaining dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.132, record 096",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,The complete vessel diameter is not preserved; 0.052 m is the preserved/reconstructed rim envelope used for scaling.,Exact basename match in current repository inventory,m
ceramics_002,Ceramics,mado18-121_2.png,3d modeling/ceramics/preview_images/mado18-121_2.png,mado18-121_2.fbx,3d modeling/ceramics/original_models/mado18-121_2.fbx,mado18-121,2,view/model 2,청자매병편,Shard of Celadon Maebyeong,Celadon fragment,고려시대 추정 / Goryeo-period type,태안 마도해역 / Waters off Taean–Mado,Remaining fragment measurements,,,,,0.082,0.082,,0.052,,,,,,,,,,,,,0.0045,0.0085,,,0.052,0.052,0.082,Source-reported remaining dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.132, record 096",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,The complete vessel diameter is not preserved; 0.052 m is the preserved/reconstructed rim envelope used for scaling.,Exact basename match in current repository inventory,m
ceramics_003,Ceramics,mado18-121_3.png,3d modeling/ceramics/preview_images/mado18-121_3.png,mado18-121_3.fbx,3d modeling/ceramics/original_models/mado18-121_3.fbx,mado18-121,3,view/model 3,청자매병편,Shard of Celadon Maebyeong,Celadon fragment,고려시대 추정 / Goryeo-period type,태안 마도해역 / Waters off Taean–Mado,Remaining fragment measurements,,,,,0.082,0.082,,0.052,,,,,,,,,,,,,0.0045,0.0085,,,0.052,0.052,0.082,Source-reported remaining dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.132, record 096",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,The complete vessel diameter is not preserved; 0.052 m is the preserved/reconstructed rim envelope used for scaling.,Exact basename match in current repository inventory,m
ceramics_004,Ceramics,mado18-130_1.png,3d modeling/ceramics/preview_images/mado18-130_1.png,mado18-130_1.fbx,3d modeling/ceramics/original_models/mado18-130_1.fbx,mado18-130,1,view/model 1,도기접시,Earthenware Dish,Earthenware dish,,태안 마도해역 / Waters off Taean–Mado,Measured object,,,,,0.027,0.027,,0.091,0.04,,,,0.0035,0.007,,,,,,,0.003,0.007,,,0.091,0.091,0.027,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.148, record 118",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_005,Ceramics,mado18-130_2.png,3d modeling/ceramics/preview_images/mado18-130_2.png,mado18-130_2.fbx,3d modeling/ceramics/original_models/mado18-130_2.fbx,mado18-130,2,view/model 2,도기접시,Earthenware Dish,Earthenware dish,,태안 마도해역 / Waters off Taean–Mado,Measured object,,,,,0.027,0.027,,0.091,0.04,,,,0.0035,0.007,,,,,,,0.003,0.007,,,0.091,0.091,0.027,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.148, record 118",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_006,Ceramics,mado18-130_3.png,3d modeling/ceramics/preview_images/mado18-130_3.png,mado18-130_3.fbx,3d modeling/ceramics/original_models/mado18-130_3.fbx,mado18-130,3,view/model 3,도기접시,Earthenware Dish,Earthenware dish,,태안 마도해역 / Waters off Taean–Mado,Measured object,,,,,0.027,0.027,,0.091,0.04,,,,0.0035,0.007,,,,,,,0.003,0.007,,,0.091,0.091,0.027,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.148, record 118",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_007,Ceramics,mado18-154_1.png,3d modeling/ceramics/preview_images/mado18-154_1.png,mado18-154_1.fbx,3d modeling/ceramics/original_models/mado18-154_1.fbx,mado18-154,1,view/model 1,청자음각연판문발,Celadon Bowl with Incised Lotus-Petal Design,Celadon bowl,고려시대 / Goryeo period,태안 마도해역 / Waters off Taean–Mado,Measured object; height is a range,,,,,0.071,0.073,,0.16,0.06,,0.032,,0.0015,0.0075,,,,,,,0.0035,0.0085,,,0.16,0.16,0.073,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.79, record 015",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_008,Ceramics,mado18-154_2.png,3d modeling/ceramics/preview_images/mado18-154_2.png,mado18-154_2.fbx,3d modeling/ceramics/original_models/mado18-154_2.fbx,mado18-154,2,view/model 2,청자음각연판문발,Celadon Bowl with Incised Lotus-Petal Design,Celadon bowl,고려시대 / Goryeo period,태안 마도해역 / Waters off Taean–Mado,Measured object; height is a range,,,,,0.071,0.073,,0.16,0.06,,0.032,,0.0015,0.0075,,,,,,,0.0035,0.0085,,,0.16,0.16,0.073,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.79, record 015",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_009,Ceramics,mado18-154_3.png,3d modeling/ceramics/preview_images/mado18-154_3.png,mado18-154_3.fbx,3d modeling/ceramics/original_models/mado18-154_3.fbx,mado18-154,3,view/model 3,청자음각연판문발,Celadon Bowl with Incised Lotus-Petal Design,Celadon bowl,고려시대 / Goryeo period,태안 마도해역 / Waters off Taean–Mado,Measured object; height is a range,,,,,0.071,0.073,,0.16,0.06,,0.032,,0.0015,0.0075,,,,,,,0.0035,0.0085,,,0.16,0.16,0.073,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.79, record 015",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_010,Ceramics,mado18-20_1.png,3d modeling/ceramics/preview_images/mado18-20_1.png,mado18-20_1.fbx,3d modeling/ceramics/original_models/mado18-20_1.fbx,mado18-20,1,view/model 1,도기소병,Earthenware Small Bottle,Chinese earthenware bottle,중국 도기 / Chinese earthenware,태안 마도해역 / Waters off Taean–Mado,Measured object; height is a range,,,,,0.1,0.111,,0.046,0.042,,,,,,,,,,,,0.005,0.0085,,,0.046,0.046,0.111,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.170, record 152",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
