wreck_id,name_ko,name_en,category,origin_or_affiliation,period,date_range,excavation_years,site_location_ko,water_depth_min_m,water_depth_max_m,remaining_length_m,remaining_width_m,remaining_height_m,estimated_length_m,estimated_width_m,estimated_height_m,restored_length_m,restored_width_m,restored_height_m,vessel_or_cargo_summary,source_organization,source_url,local_asset_available,notes
sinan_ship,신안선,Sinan Shipwreck,international_trade_ship,"중국 원나라 선박, 한국 신안 해역 발굴",중국 원,1323,1976-1984,전라남도 신안군 증도면 방축리 해저,20,20,28.4,6.6,3.66,30.1,10.7,4.0,,,,"약 240톤급 국제무역선; 동전, 자단목, 도자기와 공예품 적재",국립해양유산연구소,https://www.seamuse.go.kr/research/excavation/info/101,true,한국 수중발굴의 효시. 추정 규모와 잔존 규모를 구분해 사용.
wando_ship,완도선,Wando Shipwreck,ceramic_carrier,고려,고려,11-12세기,1983-1984,전라남도 완도군 약산면 어두리 해역,15,15,7.3,3.4,1.6,9.0,3.5,1.7,,,,해남산 고려청자와 선상생활용품을 운반한 평저형 목재 범선,국립해양유산연구소,https://www.seamuse.go.kr/research/excavation/info/122,true,잔존선체와 추정 원형 모델을 별도 variant로 관리.
dallido_ship,달리도선,Dallido Shipwreck,coastal_cargo_ship,고려,고려,13-14세기,1995,전라남도 목포시 충무동 달리도 갯벌,,,10.5,2.72,0.8,12.0,3.6,1.6,,,,한국 전통 선박 구조 연구에 중요한 고려 후기 난파선,국립해양유산연구소,https://www.seamuse.go.kr/research/excavation/info/103,true,갯벌 노출 상태로 발견.
sibidongpado_ship,십이동파도선,Sibidongpado Shipwreck,ceramic_carrier,고려,고려,12세기,2003-2004,전라북도 군산시 옥도면 십이동파도 해역,,,7.0,2.7,,14.5,5.21,2.08,,,,"고려청자 운반선; 청자와 도기, 선상생활용품 출수",국립해양유산연구소,https://www.seamuse.go.kr/research/excavation/info/105,true,잔존 선체 높이는 공식 페이지에 명시되지 않음.
taean_ship,태안선,Taean Shipwreck,ceramic_carrier,고려,고려,1131,2007-2008,충청남도 태안군 근흥면 대섬 해역,8,14,8.2,1.5,,,,,,,,약 2만 5천 점의 고려청자를 적재한 청자운반선,국립해양유산연구소,https://www.seamuse.go.kr/research/excavation/info/80,false,현재 저장소에 대응 FBX 없음.
mado1_ship,마도1호선,Mado No. 1 Shipwreck,grain_transport_ship,고려,고려,1208,2009-2010,충청남도 태안군 근흥면 마도 해저,15,21,10.8,3.7,,16.5,6.5,3.2,15.5,6.5,3.2,세곡과 특산품을 운반한 고려시대 곡물운반선,국립해양유산연구소,https://www.seamuse.go.kr/research/excavation/info/81,true,발굴 페이지의 추정 길이 16.5m와 복원연구 페이지의 복원 길이 15.5m를 모두 기록.
mado2_ship,마도2호선,Mado No. 2 Shipwreck,cargo_ship,고려,고려,1190-1213,2010,충청남도 태안군 근흥면 마도 해저,,,12.8,4.0,,,,,,,,"곡물, 청자, 도기, 죽제품과 선상생활용품을 적재한 고려 난파선",국립해양유산연구소,https://www.seamuse.go.kr/research/excavation/info/90,false,현재 저장소에 대응 FBX 없음.
mado3_ship,마도3호선,Mado No. 3 Shipwreck,grain_transport_ship,고려,고려,1265-1268,2011,충청남도 태안군 근흥면 마도 해저,,,12.0,4.0,,,,,,,,곡물과 해산물을 강화도로 운반하던 고려시대 곡물운반선,국립해양유산연구소,https://www.seamuse.go.kr/research/excavation/info/91,false,선체가 비교적 완형에 가깝게 남아 있었음.
mado4_ship,마도4호선,Mado No. 4 Shipwreck,tribute_transport_ship,조선,조선,1417-1425 추정,2014-2015,충청남도 태안군 근흥면 마도 해역,,,13.0,5.0,,,,,,,,"곡물, 목간과 분청사기를 운반한 조선시대 공물 운반선",국립해양유산연구소,https://www.seamuse.go.kr/research/excavation/info/94,false,한국에서 처음 확인된 조선시대 난파선.
daebudo1_ship,대부도선,Daebudo Shipwreck,coastal_cargo_ship,고려,고려,12-13세기,2006,경기도 안산시 대부도 해안 갯벌,9,11,6.6,1.4,,,,,,,,저판 판재와 우현 외판 일부가 남은 고려시대 난파선,국립해양유산연구소,https://www.seamuse.go.kr/research/excavation/info/70,false,현재 저장소에 대응 FBX 없음.
daebudo2_ship,대부도2호선,Daebudo No. 2 Shipwreck,coastal_cargo_ship,고려,고려,12세기 중후반,2015,경기도 안산시 단원구 대부도 방아머리해수욕장 인근 해역,,,9.15,2.9,,,,,,,,"도자기, 청동숟가락, 목제빗과 곶감 씨앗이 출수된 고려 난파선",국립해양유산연구소,https://www.seamuse.go.kr/research/excavation/info/95,false,현재 저장소에 대응 FBX 없음.
yeongheungdo_ship,영흥도선,Yeongheungdo Shipwreck,ancient_cargo_ship,통일신라,통일신라,8-9세기 추정,2012-2013,인천광역시 옹진군 영흥면 섬업벌 해역,,,6.0,1.4,,,,,,,,철제솥 등 유물이 출수된 통일신라시대 난파선,국립해양유산연구소,https://www.seamuse.go.kr/research/excavation/info/93,false,현재 저장소에 대응 FBX 없음.
jindo_logboat,진도선,Jindo Logboat,logboat,"중국 또는 일본계 가능성이 제기된 선박, 한국 진도 발굴",중국 원,13-14세기,1991-1992,전라남도 진도군 고군면 수로 갯벌,,,16.9,2.0,,19.0,2.5,,,,,대형 녹나무를 사용한 13-14세기 통나무배,국립해양유산연구소,https://www.seamuse.go.kr/research/excavation/info/123,false,선박의 문화적 기원은 연구상 논의가 있으므로 단정하지 않음.
anjwa_ship,안좌선,Anjwa Shipwreck,coastal_cargo_ship,고려,고려,14세기,2005,전라남도 신안군 안좌도 금산리 갯벌,,,,,,,,,,,,"선수, 선미, 돛대받침과 수밀재가 남은 고려 후기 난파선",국립해양유산연구소,https://seamuse.go.kr/research/excavation/info/110,false,공식 페이지에 선박 규모가 기재되지 않아 치수는 공란.
