asset_id,wreck_id,name_ko,variant,fbx_path,asset_kind,reference_length_m,reference_width_m,reference_height_m,dimension_basis,unreal_package_name,unreal_world_name,unreal_actor_name,wreck_x_m,wreck_y_m,wreck_z_m,semantic_label,simulation_status,notes
geobukseon_illustration,,거북선,illustration_reconstruction,3d modeling/거북선/거북선 일러스트.fbx,historical_reference,,,,unknown,KoreanWrecks,,BP_GeobukseonIllustration,0,0,-15,shipwreck,needs_unreal_import,난파선이 아닌 역사선박 참고 모델
geobukseon_reference,,거북선,reference_reconstruction,3d modeling/거북선/거북선.fbx,historical_reference,,,,unknown,KoreanWrecks,,BP_Geobukseon,0,0,-15,shipwreck,needs_unreal_import,난파선이 아닌 역사선박 참고 모델
dallido_remains,dallido_ship,달리도선,remaining_hull,3d modeling/달리도선/달리도선+잔존선체.fbx,archaeological_shipwreck,10.5,2.72,0.8,remaining,KoreanWrecks,,BP_DallidoRemains,0,0,-15,shipwreck,needs_unreal_import,
dallido_reconstruction,dallido_ship,달리도선,estimated_reconstruction,3d modeling/달리도선/달리도선_복원+3D모델링.fbx,archaeological_shipwreck,12.0,3.6,1.6,estimated_reconstruction,KoreanWrecks,,BP_DallidoReconstruction,0,0,-15,shipwreck,needs_unreal_import,
mado1_remains,mado1_ship,마도1호선,remaining_hull,3d modeling/마도1호선/마도1호선+잔존선체.fbx,archaeological_shipwreck,10.8,3.7,,remaining,KoreanWrecks,,BP_Mado1Remains,0,0,-18,shipwreck,needs_unreal_import,
mado1_reconstruction,mado1_ship,마도1호선,full_reconstruction,3d modeling/마도1호선/마도1호선full.fbx,archaeological_shipwreck,15.5,6.5,3.2,restored,KoreanWrecks,,BP_Mado1Reconstruction,0,0,-18,shipwreck,needs_unreal_import,복원연구 페이지의 15.5m 길이 사용
sinan_reconstruction,sinan_ship,신안선,estimated_reconstruction,3d modeling/신안선/신안선.fbx,archaeological_shipwreck,30.1,10.7,4.0,estimated_reconstruction,KoreanWrecks,,BP_SinanReconstruction,0,0,-25,shipwreck,needs_unreal_import,
sibidongpado_reconstruction,sibidongpado_ship,십이동파도선,full_reconstruction,3d modeling/십이동파도선/십이동파도선 full.fbx,archaeological_shipwreck,14.5,5.21,2.08,estimated_reconstruction,KoreanWrecks,,BP_SibidongpadoReconstruction,0,0,-18,shipwreck,needs_unreal_import,
sibidongpado_remains,sibidongpado_ship,십이동파도선,remaining_hull,3d modeling/십이동파도선/십이동파도선+잔존선체.fbx,archaeological_shipwreck,7.0,2.7,,remaining,KoreanWrecks,,BP_SibidongpadoRemains,0,0,-18,shipwreck,needs_unreal_import,
wando_reconstruction,wando_ship,완도선,full_reconstruction,3d modeling/완도선/완도선 복원체.fbx,archaeological_shipwreck,9.0,3.5,1.7,estimated_reconstruction,KoreanWrecks,,BP_WandoReconstruction,0,0,-18,shipwreck,needs_unreal_import,
wando_remains,wando_ship,완도선,remaining_hull,3d modeling/완도선/완도선 잔존선체.fbx,archaeological_shipwreck,7.3,3.4,1.6,remaining,KoreanWrecks,,BP_WandoRemains,0,0,-18,shipwreck,needs_unreal_import,
